category	course_college	url	reason
noslides	CSCI2140 - Dalhousie University	https://www.cs.dal.ca/~sraza/CSCI2140/chapter01_DF.pdf	multipaged ppts
noslides	CSCI304 - College of William & Mary	https://www.cs.wm.edu/~tadavis/cs304/	multipaged ppts
noslides	CSCI4380 - Rensselaer Polytechnic Institute	https://www.cs.rpi.edu/~sibel/csci4380/fall2023/course_notes.html	no
noslides	CSCI467 - University of Southern California	https://usc-csci467.github.io/spring2024/	no
noslides	CSE120 - Arizona State University	https://bmoraffa.github.io/EEE_CSE120_Fall2020.html	no
noslides	CSE156 - University of California, San Diego	http://cseweb.ucsd.edu/~nnakashole/teaching/156_sp19.html	no
noslides	CSE256 - University of California, San Diego	https://cseweb.ucsd.edu/~nnakashole/teaching/256_sp19.html	no
noslides	CSE7314 - Southern Methodist University	https://s2.smu.edu/~tian/class/7314.05s/	no
noslides	CSSE333 - Rose-Hulman Institute of Technology	https://www.rose-hulman.edu/class/cs/csse333/Slides/BFViews.ppt	
noslides	DS4400 - Northeastern University	http://khoury.northeastern.edu/home/eelhami/courses_nu_ds4400_fall21.htm	no
noslides	ECE2210 - University of Utah	https://my.ece.utah.edu/~ece2210/ECE2210hw_F06.htm	no
noslides	ECE2400 - Cornell University	https://www.csl.cornell.edu/courses/ece2400/handouts.shtml	no
noslides	ECS088 - University of California, Davis	https://web.cs.ucdavis.edu/~koehl/Teaching/ECS088/lectures.html	no
noslides	ECS120 - University of California, Davis	https://web.cs.ucdavis.edu/~doty/ecs120slides/01a_Introduction-deck.html	no
noslides	ECS129 - University of California, Davis	https://www.cs.ucdavis.edu/~koehl/Teaching/ECS129/index.html	no
noslides	ECS154A - University of California, Davis	https://heather.cs.ucdavis.edu/~matloff/154a.html	no
noslides	ECS30 - University of California, Davis	https://web.cs.ucdavis.edu/~bai/ECS30/	no
noslides	EEE202 - Arizona State University	https://tsakalis.faculty.asu.edu/202.htm	no
noslides	EEE203 - Arizona State University	https://tsakalis.faculty.asu.edu/203.htm	no
noslides	EEE591 - Arizona State University	https://ecee.engineering.asu.edu/wp-content/uploads/sites/40/2019/05/EEE-498-591-Introduction-to-Python-for-Rapid-Engineering-Solutions.pdf	no
noslides	IOOP101 - Rowan University	https://users.rowan.edu/~chien/IOOP-OOPDA/IOOP_Syllabus_24-25-Spring.html	no
noslides	ITCS4120 - University of North Carolina at Charlotte	https://viscenter.charlotte.edu/about/courses/itcs-61208120-computer-graphics/	no
noslides	MATH2637 - Auburn University	https://webhome.auburn.edu/~huanghu/math2637/	no
